heatPumpSystem.heatPump.sigBus.PelMea;timTab.y[1];Time
4396;0;0
4677.5251585391197;0;100
4814.6215403044307;0;200
4948.4485288438245;0;300
0;0;400
0;0;500
0;0;600
0;0;700
0;0;800
0;0;900
4161.2631404830418;0;1000
4331.226301600138;0;1100
4486.957697766853;0;1200
0;0;1300
0;0;1400
0;0;1500
4143.3786653160187;0;1600
4297.8564427957881;0;1700
4454.7798912866201;0;1800
0;0;1900
0;0;2000
0;0;2100
4135.3551191321221;0;2200
4260.0157192776805;0;2300
4420.3590458435847;0;2400
0;0;2500
0;0;2600
0;0;2700
0;0;2800
0;0;2900
0;0;3000
0;0;3100
0;0;3200
0;0;3300
0;0;3400
0;0;3500
0;0;3600
